Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

02:12:47 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:28:17 PM  48684328 388343704   2458860      0.62   4006840 325709108 181613824     45.04 150237792 180694052      2616   1244156  14000004      9408     32596    302080
02:28:22 PM  48705192 388303260   2499244      0.63   4006840 325647728 179283096     44.46 150238072 180648364      5028   1259384  14000136      9440     32920    302048
02:28:27 PM  48708612 388307612   2494916      0.63   4006840 325648476 182891004     45.35 150238300 180678244      7052   1290232  14000296      9456     32360    302072
02:28:32 PM  48632516 388233324   2569820      0.65   4006840 325650220 189598880     47.02 150238500 180731544      8508   1340428  13999744      9440     33784    302016
02:28:37 PM  48587592 388189396   2614088      0.66   4006840 325651216 192623840     47.77 150238520 180741564      9364   1350488  13999404      9440     33912    302032
02:28:42 PM  48597540 388200676   2602684      0.66   4006840 325652544 191896752     47.59 150238604 180729908      9016   1337536  13999532      9440     33312    302016
02:28:47 PM  48572896 388178116   2625308      0.66   4006840 325654616 188207316     46.67 150238700 180709676      9412   1315348  13999480      9456     33616    302080
02:28:52 PM  48487676 388095004   2708792      0.69   4006840 325656528 192221688     47.67 150238980 180753468      8948   1356984  13999304      9456     33960    302112
02:28:57 PM  48543092 388152840   2650928      0.67   4006840 325658908 189597540     47.02 150239144 180720336      9600   1322172  13999372      9440     33488    302048
02:29:02 PM  48533912 388145772   2657308      0.67   4006840 325661004 188513192     46.75 150239300 180714036      8268   1313356  14000076      9440     33316    302048
02:29:07 PM  48539700 388152320   2650728      0.67   4006840 325661680 189702740     47.04 150239380 180726988      8748   1325360  14000192      9440     33320    302064
02:29:12 PM  48504088 388117592   2685280      0.68   4006840 325662500 189565376     47.01 150239444 180745628      9128   1344248  14000432      9456     33556    302032
