Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:10:46 PM 382730324 390433916   1525140      0.39   1224460   8014224   4181864      1.04   4100572   5687580       384    577760   1364400      9600      5492    267360
02:10:51 PM 382483800 390190600   1766256      0.45   1224464   8017244  51807564     12.85   4101440   5972888      3016    861184   1366784      9904     12912    267520
02:10:56 PM 382480208 390187448   1769532      0.45   1224468   8017684  51599356     12.80   4101476   5972816       516    860552   1366656      9904     13004    267520
02:11:01 PM 382492240 390199804   1756800      0.44   1224472   8017960  51498424     12.77   4101484   5974776      1304    862200   1367076      9904     13004    267504
02:11:06 PM 382495220 390203260   1753332      0.44   1224476   8018420  51497264     12.77   4101524   5972628       748    859600   1367100      9936     13012    267472
02:11:11 PM 382472148 390181872   1774576      0.45   1224488   8020100  51599108     12.80   4101688   5976636      2972    862296   1367236      9904     12940    267552
02:11:16 PM 382474752 390185024   1771464      0.45   1224492   8020632  51701444     12.82   4101744   5980256      2540    865292   1367208      9904     12956    267568
02:11:21 PM 382477292 390187816   1768504      0.45   1224500   8020856  51497472     12.77   4101748   5979768      1276    864668   1367396      9920     12852    267616
02:11:26 PM 382474560 390186280   1770464      0.45   1224504   8022040  51598916     12.80   4101820   5982148      1500    865828   1366980      9904     13020    267600
02:11:31 PM 382477768 390190928   1765804      0.45   1224516   8023416  51502828     12.77   4101912   5988368      3256    870896   1367044      9840     12972    267584
02:11:36 PM 382468360 390181684   1775104      0.45   1224524   8023568  51807300     12.85   4102000   5986104      2564    868432   1366992      9888     13004    267600
02:11:41 PM 382457272 390171156   1785696      0.45   1224528   8024264  51497164     12.77   4102068   5983212      3448    864980   1366788      9904     13016    267600
02:11:46 PM 382495152 390210352   1746824      0.44   1224532   8025580  44986696     11.16   4102080   5935952       824    816212   1366460      9888     11820    267616
02:11:51 PM 382424916 390140512   1816904      0.46   1224540   8025956  51396848     12.75   4102212   5984296      2108    864472   1366232      9968     13040    267680
02:11:56 PM 382425272 390141692   1815708      0.46   1224544   8026752  51702176     12.82   4102284   5986864      2180    866400   1366272      9936     13028    267632
02:12:01 PM 382419376 390136192   1820848      0.46   1224548   8027364  51597996     12.80   4102312   5987072      3316    865972   1366412     10128     13188    267648
02:12:06 PM 382418968 390136868   1819888      0.46   1224556   8028516  51397488     12.75   4102372   5990844      3232    868500   1366620      9920     12972    267632
02:12:11 PM 382442364 390161348   1795724      0.45   1224560   8029556  48478064     12.02   4102432   5968528      2500    845256   1366344      9840     12328    267536
02:12:16 PM 382442752 390161980   1794884      0.45   1224564   8029816  51599252     12.80   4102520   5988796      3588    865596   1366532      9904     12960    267648
