Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:49:13 AM  53599396 389300792   1419900      0.36   4040916 321878716   3149120      0.78 146969400 179115712        36    193380  13920212      8384      4316    330508
01:49:18 AM  53597900 389300768   1419912      0.36   4040916 321880152   3149120      0.78 146969400 179117232       156    193460  13920260      8384      4316    330492
01:49:23 AM  53595932 389299984   1420644      0.36   4040916 321881308   3149376      0.78 146969400 179118440        28    193516  13920340      8384      4320    330508
01:49:28 AM  53593228 389299004   1421576      0.36   4040916 321882968   3149512      0.78 146969400 179120264       196    193672  13920452      8384      4316    330524
01:49:33 AM  53591756 389298968   1421764      0.36   4040916 321884348   3149512      0.78 146969400 179121704        48    193752  13920356      8384      4316    330476
01:49:38 AM  53589096 389297740   1422892      0.36   4040916 321885704   3149512      0.78 146969404 179123160       204    193832  13920532      8384      4320    330476
01:49:43 AM  53601580 389311744   1408932      0.36   4040916 321887164   3149768      0.78 146969404 179124692        24    193932  13920548      8384      4324    330476
01:49:48 AM  53600628 389312208   1408548      0.36   4040916 321888548   3149768      0.78 146969404 179126192       164    194024  13920500      8384      4320    330460
01:49:53 AM  53598492 389311596   1409256      0.36   4040916 321890008   3149768      0.78 146969404 179127732        12    194112  13920468      8384      4320    330460
01:49:58 AM  53596404 389310780   1409880      0.36   4040916 321891216   3149900      0.78 146969404 179129036       156    194200  13920724      8384      4320    330476
01:50:03 AM  53595444 389311088   1409588      0.36   4040916 321892452   3150156      0.78 146969404 179130332        24    194280  13920740      8384      4320    330476
01:50:08 AM  53594176 389311132   1409532      0.36   4040916 321893696   3150156      0.78 146969404 179131684       108    194364  13920820      8384      4320    330476
01:50:13 AM  53592700 389310892   1409720      0.36   4040916 321894904   3150156      0.78 146969404 179132952        12    194448  13920900      8384      4324    330476
01:50:18 AM  53591472 389310776   1410060      0.36   4040916 321895984   3150156      0.78 146969404 179134120       188    194516  13920708      8384      4328    330476
01:50:23 AM  53590692 389311208   1409484      0.36   4040916 321897164   3150288      0.78 146969404 179135360        44    194596  13920884      8384      4324    330492
01:50:28 AM  53588464 389310368   1410392      0.36   4040916 321898484   3150544      0.78 146969404 179136792       176    194684  13920884      8384      4324    330492
01:50:33 AM  53587260 389310408   1410456      0.36   4040916 321899668   3150544      0.78 146969404 179138028         8    194760  13920840      8384      4324    330492
01:50:38 AM  53585388 389309928   1410940      0.36   4040916 321901024   3150544      0.78 146969404 179139504        32    194856  13920872      8384      4316    330492
01:50:43 AM  53583164 389309228   1411480      0.36   4040916 321902484   3150544      0.78 146969404 179141052         0    194952  13921096      8384      4320    330476
01:50:48 AM  53581752 389309196   1411632      0.36   4040916 321903808   3150932      0.78 146969404 179142464         0    195044  13921032      8384      4320    330460
