Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

11:34:57 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
11:43:02 AM 383482000 389864428   2097356      0.53   1213392   6752652  91725452     22.75   3672832   5357020      2660   1091476   1313148     10432     18888    268040
11:43:07 AM 383519116 389904068   2057592      0.52   1213396   6754960  88044392     21.83   3673104   5327192      4180   1059952   1313484     10384     18856    268008
11:43:12 AM 383533256 389920644   2040752      0.52   1213404   6757284  88245612     21.88   3673444   5325320      2672   1056236   1313852     10352     18668    267968
11:43:17 AM 383545036 389934976   2026492      0.51   1213408   6759648  85224964     21.13   3673696   5326820      3268   1055416   1313964     10320     18440    268000
11:43:22 AM 383494508 389886508   2075228      0.53   1213420   6761628  91748140     22.75   3674008   5363980      3032   1090736   1313764     10368     19300    268040
11:43:27 AM 383485964 389880668   2081428      0.53   1213424   6764132  91750444     22.75   3674360   5366812      3776   1092200   1313600     10416     19376    268048
11:43:32 AM 383509136 389905844   2056940      0.52   1213428   6766100  82393628     20.43   3674596   5321948      2184   1045072   1312944     10336     17780    268016
11:43:37 AM 383457896 389856908   2105836      0.53   1213428   6768372  91736788     22.75   3674900   5363956      2676   1086364   1313016     10592     19144    268048
11:43:42 AM 383463860 389865440   2097980      0.53   1213432   6770808  91736308     22.75   3675236   5371832      4096   1091660   1312468     10352     19340    268016
11:43:47 AM 383549580 389953128   2010436      0.51   1213436   6772752  73555316     18.24   3675412   5266452      2656    983604   1312344     10288     16612    267904
11:43:52 AM 383604480 390010072   1953804      0.49   1213436   6774664  64683596     16.04   3675680   5204780      3320    921044   1312164     10224     15144    267936
11:43:57 AM 383797416 390203548   1761656      0.45   1213440   6775140  30569136      7.58   3675800   5031780      1180    747536   1310896     10112     10428    267824
11:44:02 AM 383812956 390219836   1745568      0.44   1213452   6775900  27528484      6.83   3675844   4998912      2308    713908   1310672     10016      9412    267760
11:44:07 AM 383919588 390327444   1637716      0.41   1213460   6776136   4191940      1.04   3675864   4866456       628    580728   1311648      9936      6052    267664
11:44:12 AM 383868228 390279632   1681196      0.43   1213464   6779884  38521804      9.55   3693624   4928356      1500    657124   1315776     10160     11640    267928
11:44:17 AM 383799124 390212588   1748248      0.44   1213468   6781796  38517900      9.55   3693848   5021608       400    748600   1315912     10144     12240    267920
11:44:22 AM 383794952 390208948   1751832      0.44   1213472   6782176  36372532      9.02   3694108   5013356      1292    740144   1316116     10112     11780    267968
11:44:27 AM 383783452 390197756   1763120      0.45   1213480   6782444  36372532      9.02   3694372   5014928       384    741744   1316052     10112     11784    267952
11:44:32 AM 383849048 390263200   1700072      0.43   1213480   6782164   4196284      1.04   3698816   4855688      1344    587276   1313784      9904      5964    267688
11:44:37 AM 383848560 390263144   1700652      0.43   1213496   6782584   4200636      1.04   3698828   4860940       332    592008   1313256      9904      5960    267736
11:44:42 AM 383845440 390262660   1701368      0.43   1213504   6785076   4196364      1.04   3698828   4861224      1236    589784   1313160      9872      5844    267760
11:44:47 AM 383842768 390262724   1701428      0.43   1213516   6787732   4196364      1.04   3698828   4863880       208    589788   1313104      9872      5844    267696
