Linux 5.15.0-91-generic (gl5) 	02/01/2024 	_x86_64_	(32 CPU)

12:11:04 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
12:26:24 AM 287217024 389844400   1814296      0.46   1571452 100418880   4222720      1.05  44854928  57699724       388    592192   3836896     10080      6036    279216
12:26:29 AM 287219256 389848312   1810280      0.46   1571456 100420540   4218756      1.05  44854912  57698216         8    589448   3837016      9648      5816    279160
12:26:34 AM 287218796 389849092   1809504      0.46   1571456 100421692   4218756      1.05  44854916  57699380         8    589404   3837100      9616      5744    279160
12:26:39 AM 287215204 389847036   1811488      0.46   1571456 100423176   4218756      1.05  44854916  57701032      1524    589628   3837224      9664      5836    279160
12:26:44 AM 287214020 389847136   1811460      0.46   1571456 100424360   4218888      1.05  44854920  57702312       328    589696   3837252      9680      5848    279176
12:26:49 AM 287207364 389841888   1816980      0.46   1571456 100425852   4219144      1.05  44854920  57703884      1468    589780   3836896      9648      5816    279176
12:26:54 AM 287205524 389841372   1817612      0.46   1571456 100427088   4219144      1.05  44854916  57705124       256    589736   3836868      9616      5740    279192
12:26:59 AM 287093588 389730868   1919400      0.49   1571456 100428384  79239648     19.65  44854940  57843672      1540    727116   3845720     10192     17756    279632
12:27:04 AM 286193140 388837736   2811192      0.71   1571456 100435740 194089660     48.13  44856468  58825632      5260   1703812   3847020     10688     35200    279864
12:27:09 AM 286154136 388800112   2848444      0.72   1571456 100437020 193682688     48.03  44856500  58842096      1972   1719112   3847492     10688     35368    279960
12:27:14 AM 286113764 388760276   2888304      0.73   1571456 100437556 193571824     48.00  44856504  58837076      1220   1713864   3847468     10688     35408    279976
12:27:19 AM 286105500 388752460   2896016      0.73   1571456 100438124 193512740     47.99  44856504  58849044      1876   1724564   3847452     10656     35420    279992
12:27:24 AM 286063348 388711336   2937188      0.74   1571456 100439152 193684788     48.03  44856512  58849832      1120   1724420   3847404     10688     35476    280016
12:27:29 AM 286088284 388738808   2909196      0.74   1571456 100441708 190193272     47.17  44856656  58826048      3992   1697896   3847904     10688     35632    279928
